fund_id,fund_name,manager_name,manager_status,completeness_score,status,enrichment_state,official_fund_profile_url,manager_logo_url,prospectus_url,factsheet_url,subscription_frequency,subscription_minimum,subscription_fee,redemption_frequency,redemption_fee,custodian,administrator,auditor,sponsor,missing_fields
ciam_misr_equity__ci_asset_management,CIAM Misr Equity,CI Asset Management,known,57.1,PARTIAL,PARTIAL,,https://www.cicapital.com/wp-content/uploads/2024/07/CICapitalLogo-En.png,,https://www.cicapital.com/wp-content/uploads/2025/03/FactSheet-CIAMMisrEquity-Jan2025-En.pdf,Daily,1 investment certificate,0.0%,Daily,0.0%,,,,,official_fund_profile_url|prospectus_url|custodian|administrator|auditor|sponsor
iskan_insurance__arab_african_investment_management,Iskan Insurance,Arab African Investment Management,known,78.6,HIGH,HIGH,https://aaim.com.eg/en/what-we-offer/funds/iskan,,https://aaim.com.eg/en/file/407/313d096a/Iskan+Prospectus.PDF,,Daily,10,Free,Daily,Free,Ahli United Bank,Catalyst,,Iskan Insurance Co.,manager_logo_url|factsheet_url|auditor
fab_misr_al_awal__hc_securities_investment,Fab Misr (Al Awal),HC Securities & Investment,known,7.1,LOW,NOT_STARTED,,,,,,,,,,,,,,official_fund_profile_url|manager_logo_url|prospectus_url|factsheet_url|subscription_frequency|subscription_minimum|subscription_fee|redemption_frequency|redemption_fee|custodian|administrator|auditor|sponsor
delta_life_insurance__x,Delta Life Insurance,,unknown,0.0,LOW,NOT_STARTED,,,,,,,,,,,,,,manager_name|official_fund_profile_url|manager_logo_url|prospectus_url|factsheet_url|subscription_frequency|subscription_minimum|subscription_fee|redemption_frequency|redemption_fee|custodian|administrator|auditor|sponsor
sabayek__beltone_asset_management,Sabayek,Beltone Asset Management,known,14.3,LOW,NOT_STARTED,,https://www.beltoneholding.com/assets/logo-dark.svg,,,,,,,,,,,,official_fund_profile_url|prospectus_url|factsheet_url|subscription_frequency|subscription_minimum|subscription_fee|redemption_frequency|redemption_fee|custodian|administrator|auditor|sponsor
cib_thabat__ci_asset_management,CIB (Thabat),CI Asset Management,known,21.4,LOW,ENRICHED,,https://www.cicapital.com/wp-content/uploads/2024/07/CICapitalLogo-En.png,,https://www.cicapital.com/wp-content/uploads/2025/03/FactSheet-CIBThabat-Feb2025-En.pdf,,,,,,,,,,official_fund_profile_url|prospectus_url|subscription_frequency|subscription_minimum|subscription_fee|redemption_frequency|redemption_fee|custodian|administrator|auditor|sponsor
misr_life_insurance_fund__ci_asset_management,Misr Life Insurance Fund,CI Asset Management,known,14.3,LOW,NOT_STARTED,,https://www.cicapital.com/wp-content/uploads/2024/07/CICapitalLogo-En.png,,,,,,,,,,,,official_fund_profile_url|prospectus_url|factsheet_url|subscription_frequency|subscription_minimum|subscription_fee|redemption_frequency|redemption_fee|custodian|administrator|auditor|sponsor
cib_fund_takamol__ci_asset_management,CIB Fund (Takamol),CI Asset Management,known,14.3,LOW,NOT_STARTED,,https://www.cicapital.com/wp-content/uploads/2024/07/CICapitalLogo-En.png,,,,,,,,,,,,official_fund_profile_url|prospectus_url|factsheet_url|subscription_frequency|subscription_minimum|subscription_fee|redemption_frequency|redemption_fee|custodian|administrator|auditor|sponsor
alexbank_fund_iii__hermes_portfolio_and_fund_management,ALEXBANK Fund III,Hermes Portfolio and Fund Management,known,50.0,PARTIAL,PARTIAL,https://efgholding.com/en/our-services/mutual-funds/boa-mmf,https://efgholding.com/uploads/logo_84cc2a9a06.svg,,https://efgholding.com/uploads/EN_BOA_MMF_Factsheet_Q2_2026_a340905470.pdf,Daily,100 investment certificates,,Daily,,,,,,prospectus_url|subscription_fee|redemption_fee|custodian|administrator|auditor|sponsor
hermes_gold__hermes_portfolio_and_fund_management,Hermes Gold,Hermes Portfolio and Fund Management,known,28.6,LOW,ENRICHED,https://efgholding.com/en/our-services/mutual-funds/GOLD,https://efgholding.com/uploads/logo_84cc2a9a06.svg,https://efgholding.com/uploads/EN_GOLD_Prospectus_2025_c42ac1e119.pdf,,,,,,,,,,,factsheet_url|subscription_frequency|subscription_minimum|subscription_fee|redemption_frequency|redemption_fee|custodian|administrator|auditor|sponsor
b_youmy__beltone_asset_management,B-Youmy,Beltone Asset Management,known,14.3,LOW,NOT_STARTED,,https://www.beltoneholding.com/assets/logo-dark.svg,,,,,,,,,,,,official_fund_profile_url|prospectus_url|factsheet_url|subscription_frequency|subscription_minimum|subscription_fee|redemption_frequency|redemption_fee|custodian|administrator|auditor|sponsor
alexbank_fund_i__hermes_portfolio_and_fund_management,ALEXBANK Fund I,Hermes Portfolio and Fund Management,known,50.0,PARTIAL,PARTIAL,https://efgholding.com/en/our-services/mutual-funds/boafund,https://efgholding.com/uploads/logo_84cc2a9a06.svg,,https://efgholding.com/uploads/EN_BOAFUND_Factsheet_Q2_2026_cc5f42206f.pdf,Weekly,10 investment certificates,,Weekly,,,,,,prospectus_url|subscription_fee|redemption_fee|custodian|administrator|auditor|sponsor
gosour_equity__arab_african_investment_management,Gosour Equity,Arab African Investment Management,known,71.4,HIGH,HIGH,https://aaim.com.eg/en/what-we-offer/funds/gosour,,,,Daily,10,Free,Daily,Free,KFH,Catalyst,,Mega Investment/EgyptAir Holding Company Fund/The Suez Canal Authority Fund,manager_logo_url|prospectus_url|factsheet_url|auditor
menthum_grow_egx_30_capped__beltone_asset_management,Menthum Grow EGX 30 Capped,Beltone Asset Management,known,14.3,LOW,NOT_STARTED,,https://www.beltoneholding.com/assets/logo-dark.svg,,,,,,,,,,,,official_fund_profile_url|prospectus_url|factsheet_url|subscription_frequency|subscription_minimum|subscription_fee|redemption_frequency|redemption_fee|custodian|administrator|auditor|sponsor
bank_nxt_fund_ii_helal__hermes_portfolio_and_fund_management,Bank Nxt Fund II (Helal),Hermes Portfolio and Fund Management,known,42.9,PARTIAL,PARTIAL,https://efgholding.com/en/our-services/mutual-funds/HELAL,https://efgholding.com/uploads/logo_84cc2a9a06.svg,,https://efgholding.com/uploads/EN_Helal_Factsheet_Q2_2026_f60ad79f57.pdf,Weekly,,,Weekly,,,,,,prospectus_url|subscription_minimum|subscription_fee|redemption_fee|custodian|administrator|auditor|sponsor
ciam_8th_issue_ipos__ci_asset_management,CIAM 8th Issue (IPOs),CI Asset Management,known,14.3,LOW,NOT_STARTED,,https://www.cicapital.com/wp-content/uploads/2024/07/CICapitalLogo-En.png,,,,,,,,,,,,official_fund_profile_url|prospectus_url|factsheet_url|subscription_frequency|subscription_minimum|subscription_fee|redemption_frequency|redemption_fee|custodian|administrator|auditor|sponsor
aaib_gozoor__arab_african_investment_management,AAIB (Gozoor),Arab African Investment Management,known,85.7,COMPLETE,COMPLETE,https://aaim.com.eg/en/what-we-offer/funds/gozoor,,https://aaim.com.eg/en/file/405/1c2ed1b5/Gozoor+Prospectus.PDF,https://aaim.com.eg/en/file/497/f0add81f/Gozoor+%281%29.pdf,Daily,100,Free,Weekly,Free,Blom Bank,Catalyst,,AAIB,manager_logo_url|auditor
ciam_esg__ci_asset_management,CIAM ESG,CI Asset Management,known,14.3,LOW,NOT_STARTED,,https://www.cicapital.com/wp-content/uploads/2024/07/CICapitalLogo-En.png,,,,,,,,,,,,official_fund_profile_url|prospectus_url|factsheet_url|subscription_frequency|subscription_minimum|subscription_fee|redemption_frequency|redemption_fee|custodian|administrator|auditor|sponsor
sarwa_life_insurance_fund__ci_asset_management,Sarwa Life Insurance Fund,CI Asset Management,known,14.3,LOW,NOT_STARTED,,https://www.cicapital.com/wp-content/uploads/2024/07/CICapitalLogo-En.png,,,,,,,,,,,,official_fund_profile_url|prospectus_url|factsheet_url|subscription_frequency|subscription_minimum|subscription_fee|redemption_frequency|redemption_fee|custodian|administrator|auditor|sponsor
ciam__ci_asset_management,CIAM ($),CI Asset Management,known,14.3,LOW,NOT_STARTED,,https://www.cicapital.com/wp-content/uploads/2024/07/CICapitalLogo-En.png,,,,,,,,,,,,official_fund_profile_url|prospectus_url|factsheet_url|subscription_frequency|subscription_minimum|subscription_fee|redemption_frequency|redemption_fee|custodian|administrator|auditor|sponsor
egx30_index_etf_egx30_index_etf__beltone_asset_management,EGX30 Index ETF- EGX30 Index ETF,Beltone Asset Management,known,14.3,LOW,NOT_STARTED,,https://www.beltoneholding.com/assets/logo-dark.svg,,,,,,,,,,,,official_fund_profile_url|prospectus_url|factsheet_url|subscription_frequency|subscription_minimum|subscription_fee|redemption_frequency|redemption_fee|custodian|administrator|auditor|sponsor
kenoz_egx33_shariah_index_tracker_shariah__arab_african_investment_management,Kenoz EGX33 Shariah Index Tracker – Shariah,Arab African Investment Management,known,85.7,COMPLETE,COMPLETE,https://aaim.com.eg/en/what-we-offer/funds/kenz-shariah,,https://aaim.com.eg/en/file/410/f287c401/Kenz+Shariaah+Prospectus.PDF,https://aaim.com.eg/en/file/501/104177a8/Kenz+Sharia+%281%29.pdf,Daily,10,Free,Daily,Free,HDBK,Catalyst,,AAIH,manager_logo_url|auditor
bank_nxt_fund_i__hermes_portfolio_and_fund_management,Bank Nxt Fund I,Hermes Portfolio and Fund Management,known,50.0,PARTIAL,PARTIAL,https://efgholding.com/en/our-services/mutual-funds/NXT-mmf,https://efgholding.com/uploads/logo_84cc2a9a06.svg,,https://efgholding.com/uploads/EN_NXT_MMF_Factsheet_Q2_2026_6aa6df192a.pdf,Daily,100 investment certificates,,Daily,,,,,,prospectus_url|subscription_fee|redemption_fee|custodian|administrator|auditor|sponsor
manasek__hermes_portfolio_and_fund_management,Manasek,Hermes Portfolio and Fund Management,known,28.6,LOW,ENRICHED,https://efgholding.com/en/our-services/mutual-funds/MANASEK,https://efgholding.com/uploads/logo_84cc2a9a06.svg,https://efgholding.com/uploads/EN_Manasek_Prospectus_2025_90f27ba11a.pdf,,,,,,,,,,,factsheet_url|subscription_frequency|subscription_minimum|subscription_fee|redemption_frequency|redemption_fee|custodian|administrator|auditor|sponsor
b70_egx_70_tracker__beltone_asset_management,B70- EGX 70 Tracker,Beltone Asset Management,known,14.3,LOW,NOT_STARTED,,https://www.beltoneholding.com/assets/logo-dark.svg,,,,,,,,,,,,official_fund_profile_url|prospectus_url|factsheet_url|subscription_frequency|subscription_minimum|subscription_fee|redemption_frequency|redemption_fee|custodian|administrator|auditor|sponsor
blom_bank_fund_ii__cfh_asset_management,Blom Bank Fund II,CFH Asset Management,known,7.1,LOW,NOT_STARTED,,,,,,,,,,,,,,official_fund_profile_url|manager_logo_url|prospectus_url|factsheet_url|subscription_frequency|subscription_minimum|subscription_fee|redemption_frequency|redemption_fee|custodian|administrator|auditor|sponsor
misr_takaful__arab_african_investment_management,Misr Takaful,Arab African Investment Management,known,78.6,HIGH,HIGH,https://aaim.com.eg/en/what-we-offer/funds/misr-takaful,,https://aaim.com.eg/en/file/412/c807c852/Misr+Takaful+Prospectus.PDF,,Daily,10,Free,Daily,Free,Ahli United Bank,Catalyst,,Misr Takaful Insurance Co.,manager_logo_url|factsheet_url|auditor
ni_capital_sahmy_fund__ni_capital,NI Capital (Sahmy Fund),NI Capital,known,7.1,LOW,NOT_STARTED,,,,,,,,,,,,,,official_fund_profile_url|manager_logo_url|prospectus_url|factsheet_url|subscription_frequency|subscription_minimum|subscription_fee|redemption_frequency|redemption_fee|custodian|administrator|auditor|sponsor
emirates_nbd_mazid__hermes_portfolio_and_fund_management,Emirates NBD (Mazid),Hermes Portfolio and Fund Management,known,50.0,PARTIAL,PARTIAL,https://efgholding.com/en/our-services/mutual-funds/mazid,https://efgholding.com/uploads/logo_84cc2a9a06.svg,,https://efgholding.com/uploads/EN_MAZID_Factsheet_Q2_2026_1cbb6a22ab.pdf,Daily,100 investment certificates,,Daily,,,,,,prospectus_url|subscription_fee|redemption_fee|custodian|administrator|auditor|sponsor
menthum_usd__ci_asset_management,Menthum USD $,CI Asset Management,known,14.3,LOW,NOT_STARTED,,https://www.cicapital.com/wp-content/uploads/2024/07/CICapitalLogo-En.png,,,,,,,,,,,,official_fund_profile_url|prospectus_url|factsheet_url|subscription_frequency|subscription_minimum|subscription_fee|redemption_frequency|redemption_fee|custodian|administrator|auditor|sponsor
bank_abc_fund_mazaya__beltone_asset_management,Bank ABC Fund (Mazaya),Beltone Asset Management,known,14.3,LOW,NOT_STARTED,,https://www.beltoneholding.com/assets/logo-dark.svg,,,,,,,,,,,,official_fund_profile_url|prospectus_url|factsheet_url|subscription_frequency|subscription_minimum|subscription_fee|redemption_frequency|redemption_fee|custodian|administrator|auditor|sponsor
b_secure__beltone_asset_management,B-Secure,Beltone Asset Management,known,14.3,LOW,NOT_STARTED,,https://www.beltoneholding.com/assets/logo-dark.svg,,,,,,,,,,,,official_fund_profile_url|prospectus_url|factsheet_url|subscription_frequency|subscription_minimum|subscription_fee|redemption_frequency|redemption_fee|custodian|administrator|auditor|sponsor
national_bank_of_kuwait_al_mizan__nbk_capital_asset_management_egypt,*National Bank of Kuwait (Al Mizan),NBK Capital Asset Management Egypt,known,14.3,LOW,ENRICHED,https://www.nbk.com/egypt/financial-markets/investment/mutual-funds/mizan.html,,,,,,,,,,,,,manager_logo_url|prospectus_url|factsheet_url|subscription_frequency|subscription_minimum|subscription_fee|redemption_frequency|redemption_fee|custodian|administrator|auditor|sponsor
hermes_equity__hermes_portfolio_and_fund_management,Hermes Equity,Hermes Portfolio and Fund Management,known,42.9,PARTIAL,PARTIAL,https://efgholding.com/en/our-services/mutual-funds/EFG-Hermes-EQ,https://efgholding.com/uploads/logo_84cc2a9a06.svg,,https://efgholding.com/uploads/EN_EFG_Hermes_EQ_Factsheet_Q2_2026_3581bda1c3.pdf,Weekly,,,Weekly,,,,,,prospectus_url|subscription_minimum|subscription_fee|redemption_fee|custodian|administrator|auditor|sponsor
cib_fund_ii_istthmar__ci_asset_management,CIB Fund II (Istthmar),CI Asset Management,known,57.1,PARTIAL,PARTIAL,,https://www.cicapital.com/wp-content/uploads/2024/07/CICapitalLogo-En.png,,https://www.cicapital.com/wp-content/uploads/2025/03/FactSheet-CIBIstithmar-Feb2025-En.pdf,Daily except last working day,1 investment certificate,0.25%,Weekly on the first working day,0%,,,,,official_fund_profile_url|prospectus_url|custodian|administrator|auditor|sponsor
egyptian_gulf_bank_fund_i__hermes_portfolio_and_fund_management,Egyptian Gulf Bank Fund I,Hermes Portfolio and Fund Management,known,50.0,PARTIAL,PARTIAL,https://efgholding.com/en/our-services/mutual-funds/EGB1,https://efgholding.com/uploads/logo_84cc2a9a06.svg,,https://efgholding.com/uploads/EN_EGB_1_Factsheet_Q2_2026_77f0f84e05.pdf,Weekly,10 investment certificates,,Weekly,,,,,,prospectus_url|subscription_fee|redemption_fee|custodian|administrator|auditor|sponsor
banque_misr_fund_iii__ci_asset_management,Banque Misr Fund III,CI Asset Management,known,28.6,LOW,ENRICHED,,https://www.cicapital.com/wp-content/uploads/2024/07/CICapitalLogo-En.png,,https://www.cicapital.com/wp-content/uploads/2025/03/FactSheet-BankMisr3rdFund-Feb2025-Ar.pdf,,,,,,,,محمد الضحاوى و شركاه,,official_fund_profile_url|prospectus_url|subscription_frequency|subscription_minimum|subscription_fee|redemption_frequency|redemption_fee|custodian|administrator|sponsor
ciam_3rd_issue_export__ci_asset_management,CIAM 3rd Issue (Export),CI Asset Management,known,14.3,LOW,NOT_STARTED,,https://www.cicapital.com/wp-content/uploads/2024/07/CICapitalLogo-En.png,,,,,,,,,,,,official_fund_profile_url|prospectus_url|factsheet_url|subscription_frequency|subscription_minimum|subscription_fee|redemption_frequency|redemption_fee|custodian|administrator|auditor|sponsor
national_bank_of_kuwait_hayat__nbk_capital_asset_management_egypt,National Bank of Kuwait (Hayat),NBK Capital Asset Management Egypt,known,14.3,LOW,ENRICHED,https://www.nbk.com/egypt/financial-markets/investment/mutual-funds/al-hayah.html,,,,,,,,,,,,,manager_logo_url|prospectus_url|factsheet_url|subscription_frequency|subscription_minimum|subscription_fee|redemption_frequency|redemption_fee|custodian|administrator|auditor|sponsor
gig_insurance_egypt_fund_i__pfi_asset_management,GIG Insurance - Egypt Fund I,PFI Asset Management,known,7.1,LOW,NOT_STARTED,,,,,,,,,,,,,,official_fund_profile_url|manager_logo_url|prospectus_url|factsheet_url|subscription_frequency|subscription_minimum|subscription_fee|redemption_frequency|redemption_fee|custodian|administrator|auditor|sponsor
alexbank_fund_ii__hermes_portfolio_and_fund_management,ALEXBANK Fund II,Hermes Portfolio and Fund Management,known,50.0,PARTIAL,PARTIAL,https://efgholding.com/en/our-services/mutual-funds/BOA_FI,https://efgholding.com/uploads/logo_84cc2a9a06.svg,,https://efgholding.com/uploads/EN_BOA_FI_Factsheet_Q2_2026_ba753a0bdb.pdf,Daily,100 investment certificates,,Daily,,,,,,prospectus_url|subscription_fee|redemption_fee|custodian|administrator|auditor|sponsor
cib_fund_iv_hamaya__ci_asset_management,CIB Fund IV (Hamaya),CI Asset Management,known,57.1,PARTIAL,PARTIAL,,https://www.cicapital.com/wp-content/uploads/2024/07/CICapitalLogo-En.png,,https://www.cicapital.com/wp-content/uploads/2025/03/FactSheet-CIBHemaya-Feb2025-En.pdf,Monthly on the last 5 working days,1 investment certificate,0.25%,Monthly on the last 5 working days,0%,,,,,official_fund_profile_url|prospectus_url|custodian|administrator|auditor|sponsor
credit_agricole_egypt_fund_iii__hermes_portfolio_and_fund_management,Credit Agricole Egypt Fund III,Hermes Portfolio and Fund Management,known,50.0,PARTIAL,PARTIAL,https://efgholding.com/en/our-services/mutual-funds/ca-mmf,https://efgholding.com/uploads/logo_84cc2a9a06.svg,,https://efgholding.com/uploads/EN_CA_MMF_Factsheet_Q2_2026_3e3b7e7789.pdf,Daily,100 investment certificates,,Daily,,,,,,prospectus_url|subscription_fee|redemption_fee|custodian|administrator|auditor|sponsor
al_baraka_bank_egypt__hermes_portfolio_and_fund_management,Al Baraka Bank Egypt,Hermes Portfolio and Fund Management,known,14.3,LOW,NOT_STARTED,,https://efgholding.com/uploads/logo_84cc2a9a06.svg,,,,,,,,,,,,official_fund_profile_url|prospectus_url|factsheet_url|subscription_frequency|subscription_minimum|subscription_fee|redemption_frequency|redemption_fee|custodian|administrator|auditor|sponsor
national_bank_of_egypt_viii__x,National Bank of Egypt VIII,Al Ahly Financial Investments Management,known,7.1,LOW,NOT_STARTED,,,,,,,,,,,,,,official_fund_profile_url|manager_logo_url|prospectus_url|factsheet_url|subscription_frequency|subscription_minimum|subscription_fee|redemption_frequency|redemption_fee|custodian|administrator|auditor|sponsor
arab_african_international_bank_juman__arab_african_investment_management,Arab African International Bank (Juman),Arab African Investment Management,known,85.7,COMPLETE,COMPLETE,https://aaim.com.eg/en/what-we-offer/funds/juman,,https://aaim.com.eg/en/file/408/3ec501fa/Juman+Prospectus.PDF,https://aaim.com.eg/en/file/496/ecfde56e/Juman+%281%29.pdf,Daily,100,Free,Daily,Free,Misrbank,Catalyst,,AAIB,manager_logo_url|auditor
momentum__cfh_asset_management,Momentum,CFH Asset Management,known,7.1,LOW,NOT_STARTED,,,,,,,,,,,,,,official_fund_profile_url|manager_logo_url|prospectus_url|factsheet_url|subscription_frequency|subscription_minimum|subscription_fee|redemption_frequency|redemption_fee|custodian|administrator|auditor|sponsor
ciam_2nd_issue_technology__ci_asset_management,CIAM 2nd Issue (Technology),CI Asset Management,known,14.3,LOW,NOT_STARTED,,https://www.cicapital.com/wp-content/uploads/2024/07/CICapitalLogo-En.png,,,,,,,,,,,,official_fund_profile_url|prospectus_url|factsheet_url|subscription_frequency|subscription_minimum|subscription_fee|redemption_frequency|redemption_fee|custodian|administrator|auditor|sponsor
pfi_cashi__pfi_asset_management,PFI Cashi,PFI Asset Management,known,7.1,LOW,NOT_STARTED,,,,,,,,,,,,,,official_fund_profile_url|manager_logo_url|prospectus_url|factsheet_url|subscription_frequency|subscription_minimum|subscription_fee|redemption_frequency|redemption_fee|custodian|administrator|auditor|sponsor
hermes_fixed_income_usd_fund__hermes_portfolio_and_fund_management,Hermes Fixed Income USD Fund,Hermes Portfolio and Fund Management,known,28.6,LOW,ENRICHED,https://efgholding.com/en/our-services/mutual-funds/EFG-Hermes-FI-USD,https://efgholding.com/uploads/logo_84cc2a9a06.svg,,https://efgholding.com/uploads/EN_EFG_Hermes_FI_USD_Factsheet_Q2_2026_b94c2dc2d5.pdf,,,,,,,,,,prospectus_url|subscription_frequency|subscription_minimum|subscription_fee|redemption_frequency|redemption_fee|custodian|administrator|auditor|sponsor
beltone_fada__beltone_asset_management,Beltone Fada,Beltone Asset Management,known,14.3,LOW,NOT_STARTED,,https://www.beltoneholding.com/assets/logo-dark.svg,,,,,,,,,,,,official_fund_profile_url|prospectus_url|factsheet_url|subscription_frequency|subscription_minimum|subscription_fee|redemption_frequency|redemption_fee|custodian|administrator|auditor|sponsor
dahab__x,Dahab,Al Ahly Financial Investments Management,known,7.1,LOW,NOT_STARTED,,,,,,,,,,,,,,official_fund_profile_url|manager_logo_url|prospectus_url|factsheet_url|subscription_frequency|subscription_minimum|subscription_fee|redemption_frequency|redemption_fee|custodian|administrator|auditor|sponsor
granite_first_fund__granite_fund_management,Granite First Fund,Granite Fund Management,known,7.1,LOW,NOT_STARTED,,,,,,,,,,,,,,official_fund_profile_url|manager_logo_url|prospectus_url|factsheet_url|subscription_frequency|subscription_minimum|subscription_fee|redemption_frequency|redemption_fee|custodian|administrator|auditor|sponsor
al_ahli_bank_of_kuwait_egypt_fund_i__sigma_asset_management,Al Ahli Bank of Kuwait - Egypt Fund I,Sigma Asset Management,known,7.1,LOW,NOT_STARTED,,,,,,,,,,,,,,official_fund_profile_url|manager_logo_url|prospectus_url|factsheet_url|subscription_frequency|subscription_minimum|subscription_fee|redemption_frequency|redemption_fee|custodian|administrator|auditor|sponsor
fawry__ci_asset_management,Fawry,CI Asset Management,known,14.3,LOW,NOT_STARTED,,https://www.cicapital.com/wp-content/uploads/2024/07/CICapitalLogo-En.png,,,,,,,,,,,,official_fund_profile_url|prospectus_url|factsheet_url|subscription_frequency|subscription_minimum|subscription_fee|redemption_frequency|redemption_fee|custodian|administrator|auditor|sponsor
sarwaty__arab_african_investment_management,Sarwaty*,Arab African Investment Management,known,71.4,HIGH,HIGH,https://aaim.com.eg/en/what-we-offer/funds/sarwaty,,,,Daily,100,Free,Daily,Free,Banque du Caire,ServFund,,Civil Aviation Financial Holding company,manager_logo_url|prospectus_url|factsheet_url|auditor
national_bank_of_egypt_fund_v__x,National Bank of Egypt Fund V,Al Ahly Financial Investments Management,known,7.1,LOW,NOT_STARTED,,,,,,,,,,,,,,official_fund_profile_url|manager_logo_url|prospectus_url|factsheet_url|subscription_frequency|subscription_minimum|subscription_fee|redemption_frequency|redemption_fee|custodian|administrator|auditor|sponsor
mubasher_silver__mubasher_asset_management,Mubasher Silver,Mubasher Asset Management,known,7.1,LOW,NOT_STARTED,,,,,,,,,,,,,,official_fund_profile_url|manager_logo_url|prospectus_url|factsheet_url|subscription_frequency|subscription_minimum|subscription_fee|redemption_frequency|redemption_fee|custodian|administrator|auditor|sponsor
pharos_fund_i__pharos_asset_management,Pharos Fund I,Pharos Asset Management,known,7.1,LOW,NOT_STARTED,,,,,,,,,,,,,,official_fund_profile_url|manager_logo_url|prospectus_url|factsheet_url|subscription_frequency|subscription_minimum|subscription_fee|redemption_frequency|redemption_fee|custodian|administrator|auditor|sponsor
credit_agricole_egypt_fund_ii__hermes_portfolio_and_fund_management,Credit Agricole Egypt Fund II,Hermes Portfolio and Fund Management,known,50.0,PARTIAL,PARTIAL,https://efgholding.com/en/our-services/mutual-funds/CA-2,https://efgholding.com/uploads/logo_84cc2a9a06.svg,,https://efgholding.com/uploads/EN_CA_2_Factsheet_Q2_2026_82b7059aa5.pdf,Weekly,5 investment certificates,,Weekly,,,,,,prospectus_url|subscription_fee|redemption_fee|custodian|administrator|auditor|sponsor
misr_money_market__ci_asset_management,Misr Money Market ($),CI Asset Management,known,42.9,PARTIAL,PARTIAL,,https://www.cicapital.com/wp-content/uploads/2024/07/CICapitalLogo-En.png,,https://www.cicapital.com/wp-content/uploads/2025/03/FactSheet-BankMisrMMFund-USD-Feb2025-En.pdf,Daily,,,Daily,,,,Baker Tilly,,official_fund_profile_url|prospectus_url|subscription_minimum|subscription_fee|redemption_fee|custodian|administrator|sponsor
hermes__hermes_portfolio_and_fund_management,Hermes,Hermes Portfolio and Fund Management,known,42.9,PARTIAL,PARTIAL,https://efgholding.com/en/our-services/mutual-funds/EFG-Hermes-MM,https://efgholding.com/uploads/logo_84cc2a9a06.svg,,https://efgholding.com/uploads/EN_EFG_Hermes_MM_Factsheet_Q2_2026_91de05e44b.pdf,Daily,,,Daily,,,,,,prospectus_url|subscription_minimum|subscription_fee|redemption_fee|custodian|administrator|auditor|sponsor
gig_makaseb_fund_first_tranche__ni_capital,GIG Makaseb Fund First Tranche,NI Capital,known,7.1,LOW,NOT_STARTED,,,,,,,,,,,,,,official_fund_profile_url|manager_logo_url|prospectus_url|factsheet_url|subscription_frequency|subscription_minimum|subscription_fee|redemption_frequency|redemption_fee|custodian|administrator|auditor|sponsor
aspire_rawajj__x,Aspire Rawajj,,unknown,0.0,LOW,NOT_STARTED,,,,,,,,,,,,,,manager_name|official_fund_profile_url|manager_logo_url|prospectus_url|factsheet_url|subscription_frequency|subscription_minimum|subscription_fee|redemption_frequency|redemption_fee|custodian|administrator|auditor|sponsor
al_baraka_bank_egypt_al_motawazen__x,Al Baraka Bank Egypt (Al Motawazen),,unknown,0.0,LOW,NOT_STARTED,,,,,,,,,,,,,,manager_name|official_fund_profile_url|manager_logo_url|prospectus_url|factsheet_url|subscription_frequency|subscription_minimum|subscription_fee|redemption_frequency|redemption_fee|custodian|administrator|auditor|sponsor
beltone_industrial_fund__beltone_asset_management,Beltone Industrial Fund,Beltone Asset Management,known,14.3,LOW,NOT_STARTED,,https://www.beltoneholding.com/assets/logo-dark.svg,,,,,,,,,,,,official_fund_profile_url|prospectus_url|factsheet_url|subscription_frequency|subscription_minimum|subscription_fee|redemption_frequency|redemption_fee|custodian|administrator|auditor|sponsor
misr_capital_guaranteed_al_omr__ci_asset_management,Misr Capital Guaranteed (Al Omr),CI Asset Management,known,28.6,LOW,ENRICHED,,https://www.cicapital.com/wp-content/uploads/2024/07/CICapitalLogo-En.png,,https://www.cicapital.com/wp-content/uploads/2025/03/FactSheet-BankMisr5thFund-Feb2025-Ar.pdf,,,,,,,,PKF-راشد و بدر و شركائهم,,official_fund_profile_url|prospectus_url|subscription_frequency|subscription_minimum|subscription_fee|redemption_frequency|redemption_fee|custodian|administrator|sponsor
sports_fund__beltone_asset_management,Sports Fund,Beltone Asset Management,known,14.3,LOW,NOT_STARTED,,https://www.beltoneholding.com/assets/logo-dark.svg,,,,,,,,,,,,official_fund_profile_url|prospectus_url|factsheet_url|subscription_frequency|subscription_minimum|subscription_fee|redemption_frequency|redemption_fee|custodian|administrator|auditor|sponsor
fab_misr_modkharaty__hermes_portfolio_and_fund_management,FAB Misr (Modkharaty),Hermes Portfolio and Fund Management,known,50.0,PARTIAL,PARTIAL,https://efgholding.com/en/our-services/mutual-funds/fab-mmf,https://efgholding.com/uploads/logo_84cc2a9a06.svg,,https://efgholding.com/uploads/EN_FAB_MMF_Factsheet_Q2_2026_fe64c49dc3.pdf,Daily,100 investment certificates,,Daily,,,,,,prospectus_url|subscription_fee|redemption_fee|custodian|administrator|auditor|sponsor
gig_insurance__pfi_asset_management,GIG Insurance,PFI Asset Management,known,7.1,LOW,NOT_STARTED,,,,,,,,,,,,,,official_fund_profile_url|manager_logo_url|prospectus_url|factsheet_url|subscription_frequency|subscription_minimum|subscription_fee|redemption_frequency|redemption_fee|custodian|administrator|auditor|sponsor
