fund_id,fund_name,manager_name,manager_status,completeness_score,status,enrichment_state,official_fund_profile_url,manager_logo_url,prospectus_url,factsheet_url,subscription_frequency,subscription_minimum,subscription_fee,redemption_frequency,redemption_fee,custodian,administrator,auditor,sponsor,missing_fields
beltone_financial_fund__beltone_asset_management,Beltone Financial Fund,Beltone Asset Management,known,14.3,LOW,NOT_STARTED,,https://www.beltoneholding.com/assets/logo-dark.svg,,,,,,,,,,,,official_fund_profile_url|prospectus_url|factsheet_url|subscription_frequency|subscription_minimum|subscription_fee|redemption_frequency|redemption_fee|custodian|administrator|auditor|sponsor
egyptian_gulf_bank_tharaa__prime_investments,Egyptian Gulf Bank (Tharaa),Prime Investments,known,7.1,LOW,NOT_STARTED,,,,,,,,,,,,,,official_fund_profile_url|manager_logo_url|prospectus_url|factsheet_url|subscription_frequency|subscription_minimum|subscription_fee|redemption_frequency|redemption_fee|custodian|administrator|auditor|sponsor
national_bank_of_kuwait_fund_ishraq__nbk_capital_asset_management_egypt,National Bank of Kuwait Fund (Ishraq),NBK Capital Asset Management Egypt,known,14.3,LOW,ENRICHED,https://www.nbk.com/egypt/financial-markets/investment/mutual-funds/ishraq.html,,,,,,,,,,,,,manager_logo_url|prospectus_url|factsheet_url|subscription_frequency|subscription_minimum|subscription_fee|redemption_frequency|redemption_fee|custodian|administrator|auditor|sponsor
misr_al_mostakbal_fund__hc_securities_investment,Misr Al Mostakbal Fund,HC Securities & Investment,known,7.1,LOW,NOT_STARTED,,,,,,,,,,,,,,official_fund_profile_url|manager_logo_url|prospectus_url|factsheet_url|subscription_frequency|subscription_minimum|subscription_fee|redemption_frequency|redemption_fee|custodian|administrator|auditor|sponsor
tamayoz__x,Tamayoz,Al Ahly Financial Investments Management,known,7.1,LOW,NOT_STARTED,,,,,,,,,,,,,,official_fund_profile_url|manager_logo_url|prospectus_url|factsheet_url|subscription_frequency|subscription_minimum|subscription_fee|redemption_frequency|redemption_fee|custodian|administrator|auditor|sponsor
az_naser__azimut_egypt_asset_management,AZ Naser,Azimut Egypt Asset Management,known,50.0,PARTIAL,PARTIAL,https://azimut.eg/fundpage;name=az-nasr-2,https://api.azimut.eg/storage/entities/November2023/q5uh5R2ygOQfrAsaTOXC.jpg,https://api.azimut.eg/storage/funds/February2023/5MSyGhQmx8SAmgK3XZpc.pdf,https://api.azimut.eg/storage/funds/May2026/ueriRbVR7xoRnlCc11bt.pdf,Daily,,,Daily,,,,,,subscription_minimum|subscription_fee|redemption_fee|custodian|administrator|auditor|sponsor
b_couponat__beltone_asset_management,B-Couponat,Beltone Asset Management,known,14.3,LOW,NOT_STARTED,,https://www.beltoneholding.com/assets/logo-dark.svg,,,,,,,,,,,,official_fund_profile_url|prospectus_url|factsheet_url|subscription_frequency|subscription_minimum|subscription_fee|redemption_frequency|redemption_fee|custodian|administrator|auditor|sponsor
national_bank_of_egypt_vii__x,National Bank of Egypt VII,Al Ahly Financial Investments Management,known,7.1,LOW,NOT_STARTED,,,,,,,,,,,,,,official_fund_profile_url|manager_logo_url|prospectus_url|factsheet_url|subscription_frequency|subscription_minimum|subscription_fee|redemption_frequency|redemption_fee|custodian|administrator|auditor|sponsor
menthum__azimut_egypt_asset_management,Menthum,Azimut Egypt Asset Management,known,64.3,HIGH,HIGH,https://azimut.eg/fundpage;name=menthum-2,https://api.azimut.eg/storage/entities/November2023/q5uh5R2ygOQfrAsaTOXC.jpg,https://api.azimut.eg/storage/funds/May2022/tmvnz3L9AhMRHwilC2SN.pdf,https://api.azimut.eg/storage/funds/May2026/7zB1BY1oyoQYr6bLN1fi.pdf,Daily,,0,Daily,0,,,,,subscription_minimum|custodian|administrator|auditor|sponsor
qnb_al_ahli_tawazon__beltone_asset_management,QNB Al Ahli (Tawazon),Beltone Asset Management,known,14.3,LOW,NOT_STARTED,,https://www.beltoneholding.com/assets/logo-dark.svg,,,,,,,,,,,,official_fund_profile_url|prospectus_url|factsheet_url|subscription_frequency|subscription_minimum|subscription_fee|redemption_frequency|redemption_fee|custodian|administrator|auditor|sponsor
the_united_bank_fund_rakhaa__ci_asset_management,The United Bank Fund (Rakhaa),CI Asset Management,known,14.3,LOW,NOT_STARTED,,https://www.cicapital.com/wp-content/uploads/2024/07/CICapitalLogo-En.png,,,,,,,,,,,,official_fund_profile_url|prospectus_url|factsheet_url|subscription_frequency|subscription_minimum|subscription_fee|redemption_frequency|redemption_fee|custodian|administrator|auditor|sponsor
